annee_mise_en_service,departement,nb_borne,TMJA,ratio_borne_TMJA,ratio_TMJA_borne
1930,Savoie,2,34718.017857142855,5.760697538176194e-05,17359.008928571428
2002,Ain,8,33590.30952380953,0.00023816392624573552,4198.788690476191
2010,Haut-Rhin,4,31982.533333333333,0.00012506826642875904,7995.633333333333
2012,Nord,8,21715.75,0.00036839621012398836,2714.46875
2013,Deux-Sèvres,2,17118.217391304348,0.00011683459523162458,8559.108695652174
2013,Var,20,44751.944444444445,0.00044690795558231485,2237.597222222222
2013,Vaucluse,2,23040.777777777777,8.680262529717843e-05,11520.388888888889
2014,Aude,14,48716.27272727273,0.00028737830741641304,3479.7337662337663
2014,Charente-Maritime,8,23352.846153846152,0.00034257066343420503,2919.105769230769
2014,Deux-Sèvres,6,17118.217391304348,0.00035050378569487375,2853.036231884058
2014,Gard,8,29390.14285714286,0.00027220010596361267,3673.7678571428573
2014,Haute-Garonne,9,53704.42857142857,0.00016758394492606357,5967.158730158731
2014,Haute-Savoie,8,33428.44,0.00023931718022139232,4178.555
2014,Indre-et-Loire,8,22362.53846153846,0.00035774113988710517,2795.3173076923076
2014,Isère,8,36819.48387096774,0.00021727626677320213,4602.435483870968
2014,Marne,4,19169.866666666665,0.00020866081489003576,4792.466666666666
2014,Meurthe-et-Moselle,8,49185.69230769231,0.00016264892542233983,6148.211538461539
2014,Morbihan,4,45163.125,8.856783050331437e-05,11290.78125
2014,Moselle,12,42402.01612903226,0.0002830054109569501,3533.5013440860216
2014,Oise,16,42310.0,0.0003781611912077523,2644.375
2014,Savoie,4,34718.017857142855,0.00011521395076352388,8679.504464285714
2014,Vaucluse,33,23040.777777777777,0.0014322433174034442,698.2053872053872
2015,Bouches-du-Rhône,4,67540.25974025975,5.922393569972695e-05,16885.064935064936
2015,Corrèze,20,23310.571428571428,0.0008579798252172527,1165.5285714285715
2015,Côte-d'Or,12,36131.07407407407,0.0003321240872994314,3010.9228395061727
2015,Deux-Sèvres,34,17118.217391304348,0.001986188118937618,503.4769820971867
2015,Drôme,18,19800.380116959062,0.0009090734568566674,1100.021117608837
2015,Gironde,10,56157.6129032258,0.00017807024698917679,5615.76129032258
2015,Haut-Rhin,8,31982.533333333333,0.00025013653285751807,3997.8166666666666
2015,Ille-et-Vilaine,8,52015.43333333333,0.00015380050664450234,6501.929166666666
2015,Loire-Atlantique,8,57221.28767123288,0.00013980810858302088,7152.66095890411
2015,Morbihan,4,45163.125,8.856783050331437e-05,11290.78125
2015,Nord,16,21715.75,0.0007367924202479767,1357.234375
2015,Pas-de-Calais,20,23824.03448275862,0.0008394883752570934,1191.201724137931
2015,Sarthe,8,20683.05,0.0003867901494218696,2585.38125
2015,Seine-et-Marne,92,43747.33707865168,0.0021029851447779938,475.51453346360523
2015,Val-de-Marne,6,113175.55555555556,5.301498164110821e-05,18862.592592592595
2015,Vienne,22,19337.70833333333,0.0011376735867960916,878.9867424242422
2016,Alpes-Maritimes,4,64113.230769230766,6.238961836750365e-05,16028.307692307691
2016,Bas-Rhin,8,60378.5504587156,0.00013249738424028702,7547.31880733945
2016,Calvados,12,35779.38888888889,0.00033538862380420756,2981.615740740741
2016,Cher,10,19941.125,0.0005014762206244633,1994.1125
2016,Deux-Sèvres,24,17118.217391304348,0.001402015142779495,713.2590579710145
2016,Eure,124,21956.378787878788,0.005647561521777684,177.06757086999022
2016,Haute-Garonne,6,53704.42857142857,0.00011172262995070904,8950.738095238095
2016,Haute-Savoie,2,33428.44,5.982929505534808e-05,16714.22
2016,Hérault,8,38399.03571428572,0.00020833856504953155,4799.879464285715
2016,Indre,8,22896.545454545456,0.0003493976860344156,2862.068181818182
2016,Isère,8,36819.48387096774,0.00021727626677320213,4602.435483870968
2016,Loiret,12,21702.82608695652,0.0005529233820480203,1808.56884057971
2016,Lozère,20,6040.257142857143,0.0033111173128863958,302.0128571428571
2016,Manche,115,21190.20588235294,0.005427035520016878,184.2626598465473
2016,Morbihan,289,45163.125,0.006399025753864464,156.27378892733563
2016,Puy-de-Dôme,19,36121.833333333336,0.0005259976653086083,1901.1491228070176
2016,Pyrénées-Atlantiques,8,14849.17543859649,0.0005387504533892248,1856.1469298245613
2016,Pyrénées-Orientales,2,7136.590361445783,0.00028024587354833483,3568.2951807228915
2016,Savoie,4,34718.017857142855,0.00011521395076352388,8679.504464285714
2016,Seine-Maritime,12,25435.714285714286,0.0004717775905644482,2119.6428571428573
2016,Seine-et-Marne,248,43747.33707865168,0.005668916477227635,176.40055273649872
2016,Tarn,4,18561.75,0.00021549692243457647,4640.4375
2016,Vienne,146,19337.70833333333,0.007550015621464972,132.45005707762553
2016,Yvelines,4,51830.625,7.717445043350335e-05,12957.65625
2017,Aisne,8,21064.58333333333,0.0003797843932350906,2633.072916666666
2017,Allier,146,11773.79411764706,0.01240042067502854,80.64242546333602
2017,Alpes-Maritimes,4,64113.230769230766,6.238961836750365e-05,16028.307692307691
2017,Alpes-de-Haute-Provence,13,6236.038461538462,0.0020846568025805336,479.6952662721894
2017,Aude,8,48716.27272727273,0.00016421617566652174,6089.534090909091
2017,Bas-Rhin,6,60378.5504587156,9.937303818021527e-05,10063.091743119267
2017,Bouches-du-Rhône,12,67540.25974025975,0.00017767180709918085,5628.354978354979
2017,Côtes-d'Armor,22,32745.272727272728,0.0006718527032354428,1488.4214876033059
2017,Deux-Sèvres,30,17118.217391304348,0.0017525189284743688,570.6072463768116
2017,Eure,116,21956.378787878788,0.005283202713921059,189.2791274817137
2017,Finistère,4,25727.13793103448,0.00015547784641737494,6431.78448275862
2017,Gironde,10,56157.6129032258,0.00017807024698917679,5615.76129032258
2017,Haute-Garonne,138,53704.42857142857,0.002569620488866308,389.1625258799172
2017,Haute-Marne,70,12322.184210526317,0.005680811031878746,176.0312030075188
2017,Hauts-de-Seine,52,73716.25,0.000705407559391586,1417.6201923076924
2017,Ille-et-Vilaine,161,52015.43333333333,0.003095235196220609,323.07722567287783
2017,Isère,6,36819.48387096774,0.0001629572000799016,6136.580645161291
2017,Lot,4,15592.857142857143,0.0002565277141548328,3898.214285714286
2017,Manche,220,21190.20588235294,0.010382154907858376,96.31911764705882
2017,Mayenne,8,11760.806451612903,0.0006802254618264602,1470.100806451613
2017,Morbihan,100,45163.125,0.0022141957625828592,451.63125
2017,Nord,79,21715.75,0.003637912574974385,274.88291139240505
2017,Orne,160,8071.846153846154,0.01982198334191015,50.449038461538464
2017,Pyrénées-Atlantiques,8,14849.17543859649,0.0005387504533892248,1856.1469298245613
2017,Pyrénées-Orientales,42,7136.590361445783,0.005885163344515032,169.9188181296615
2017,Rhône,38,42225.58260869565,0.0008999283764097676,1111.1995423340961
2017,Saône-et-Loire,10,20911.19607843137,0.00047821272214621874,2091.119607843137
2017,Seine-et-Marne,4,43747.33707865168,9.143413672947799e-05,10936.83426966292
2017,Somme,26,23103.166666666668,0.0011253868517302821,888.5833333333334
2017,Tarn,232,18561.75,0.012498821501205437,80.00754310344827
2017,Val-de-Marne,2,113175.55555555556,1.767166054703607e-05,56587.77777777778
2017,Var,8,44751.944444444445,0.00017876318223292593,5593.993055555556
2017,Vendée,4,19082.846153846152,0.00020961233810470138,4770.711538461538
2017,Vienne,206,19337.70833333333,0.010652761767272496,93.87237055016179
2018,Allier,2,11773.79411764706,0.00016986877637025397,5886.89705882353
2018,Alpes-Maritimes,187,64113.230769230766,0.0029167146586807956,342.8515014397367
2018,Aube,26,15852.636363636364,0.0016401057466782123,609.7167832167833
2018,Aude,6,48716.27272727273,0.0001231621317498913,8119.378787878788
2018,Aveyron,4,12808.326086956522,0.00031229685853122034,3202.0815217391305
2018,Bas-Rhin,24,60378.5504587156,0.00039749215272086107,2515.7729357798166
2018,Bouches-du-Rhône,7,67540.25974025975,0.00010364188747452217,9648.60853432282
2018,Calvados,20,35779.38888888889,0.0005589810396736792,1788.9694444444444
2018,Côte-d'Or,15,36131.07407407407,0.00041515510912428925,2408.7382716049383
2018,Deux-Sèvres,22,17118.217391304348,0.0012851805475478705,778.100790513834
2018,Doubs,14,19108.114285714284,0.0007326730304552741,1364.8653061224488
2018,Eure,10,21956.378787878788,0.00045544850982078103,2195.637878787879
2018,Eure-et-Loir,10,31604.106666666667,0.00031641457565852204,3160.4106666666667
2018,Gironde,4,56157.6129032258,7.122809879567072e-05,14039.40322580645
2018,Haute-Garonne,56,53704.42857142857,0.0010427445462066177,959.0076530612245
2018,Hautes-Alpes,5,10054.46,0.0004972917491342151,2010.8919999999998
2018,Hauts-de-Seine,20,73716.25,0.0002713105997659946,3685.8125
2018,Hérault,16,38399.03571428572,0.0004166771300990631,2399.9397321428573
2018,Ille-et-Vilaine,8,52015.43333333333,0.00015380050664450234,6501.929166666666
2018,Indre-et-Loire,11,22362.53846153846,0.0004918940673447696,2032.9580419580418
2018,Loire-Atlantique,4,57221.28767123288,6.990405429151044e-05,14305.32191780822
2018,Maine-et-Loire,6,35169.694444444445,0.00017060142531172276,5861.615740740741
2018,Manche,114,21190.20588235294,0.00537984390679934,185.87899896800826
2018,Marne,7,19169.866666666665,0.0003651564260575626,2738.5523809523806
2018,Meurthe-et-Moselle,8,49185.69230769231,0.00016264892542233983,6148.211538461539
2018,Morbihan,20,45163.125,0.00044283915251657185,2258.15625
2018,Nord,20,21715.75,0.0009209905253099709,1085.7875
2018,Orne,30,8071.846153846154,0.0037166218766081535,269.0615384615385
2018,Pas-de-Calais,5,23824.03448275862,0.00020987209381427335,4764.806896551724
2018,Pyrénées-Orientales,10,7136.590361445783,0.001401229367741674,713.6590361445783
2018,Seine-Maritime,12,25435.714285714286,0.0004717775905644482,2119.6428571428573
2018,Tarn,95,18561.75,0.005118051907821192,195.38684210526316
2018,Val-de-Marne,36,113175.55555555556,0.00031808988984664924,3143.765432098766
2018,Var,6,44751.944444444445,0.00013407238667469446,7458.657407407408
2018,Vaucluse,18,23040.777777777777,0.0007812236276746059,1280.0432098765432
2018,Vienne,28,19337.70833333333,0.001447948201376844,690.6324404761903
2019,Ain,15,33590.30952380953,0.0004465573617107541,2239.3539682539686
2019,Alpes-Maritimes,92,64113.230769230766,0.001434961222452584,696.8829431438127
2019,Ardennes,8,,,
2019,Aude,20,48716.27272727273,0.0004105404391663043,2435.8136363636363
2019,Aveyron,6,12808.326086956522,0.00046844528779683053,2134.7210144927535
2019,Bas-Rhin,2,60378.5504587156,3.3124346060071756e-05,30189.2752293578
2019,Bouches-du-Rhône,4,67540.25974025975,5.922393569972695e-05,16885.064935064936
2019,Cher,73,19941.125,0.0036607764105585816,273.166095890411
2019,Creuse,3,13575.636363636364,0.00022098411592960651,4525.212121212121
2019,Côte-d'Or,44,36131.07407407407,0.0012177883200979152,821.1607744107744
2019,Deux-Sèvres,24,17118.217391304348,0.001402015142779495,713.2590579710145
2019,Doubs,4,19108.114285714284,0.00020933515155864975,4777.028571428571
