region,TMJA
Île-de-France,70627.76822916667
Bretagne,41311.79452054795
Grand Est,39707.238853503186
Pays de la Loire,37396.45086705202
Provence-Alpes-Côte d'Azur,33753.05303030303
Auvergne-Rhône-Alpes,28005.679389312976
Hauts-de-France,25662.542553191488
Centre-Val de Loire,25416.303571428572
Nouvelle-Aquitaine,24472.359788359787
Normandie,23823.35943060498
Occitanie,21922.01686746988
Bourgogne-Franche-Comté,20135.71893491124
