annee_mise_en_service,region,nb_borne,TMJA,ratio_borne_TMJA,ratio_TMJA_borne
2019,Auvergne-Rhône-Alpes,229,28005.679389312976,0.008176912861731427,122.29554318477282
2019,Bourgogne-Franche-Comté,88,20135.71893491124,0.004370343084568284,228.81498789671866
2019,Bretagne,66,41311.79452054795,0.0015976067068975291,625.9362806143629
2019,Centre-Val de Loire,720,25416.30357142857,0.028328273542081048,35.300421626984125
2019,Grand Est,158,39707.23885350319,0.003979123317612914,251.31163831331136
2019,Hauts-de-France,209,25662.542553191488,0.008144165745338744,122.78728494349994
2019,Normandie,20,23823.35943060498,0.0008395121627685617,1191.1679715302491
2019,Nouvelle-Aquitaine,131,24472.359788359787,0.0053529778547269395,186.81190678137241
2019,Occitanie,102,21922.01686746988,0.004652856560445311,214.92173399480274
2019,Pays de la Loire,53,37396.45086705202,0.0014172467913711943,705.5934125858872
2019,Provence-Alpes-Côte d'Azur,147,33753.05303030303,0.004355161586954087,229.61260564831994
2019,Île-de-France,116,70627.76822916667,0.0016424134997953435,608.860070941092
