departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,cumsum_borne,nb_el/borne,borne/nb_el
Côte-d'Or,2022,7292,14,519622,333,642,11.36,0.09
Côte-d'Or,2023,10057,16,514140,363,1005,10.01,0.1
Côte-d'Or,2024,12906,17,521992,433,1438,8.97,0.11
Côtes-d'Armor,2020,2869,15,638895,2,24,119.54,0.01
Côtes-d'Armor,2021,4888,16,648356,27,51,95.84,0.01
Côtes-d'Armor,2022,7285,18,658051,43,94,77.5,0.01
Côtes-d'Armor,2023,10381,22,668264,563,657,15.8,0.06
Côtes-d'Armor,2024,13266,32,677233,420,1077,12.32,0.08
Deux-Sèvres,2020,1877,19,368176,14,156,12.03,0.08
Deux-Sèvres,2021,3020,15,365830,32,188,16.06,0.06
Deux-Sèvres,2022,4365,16,366920,97,285,15.32,0.07
Deux-Sèvres,2023,6183,16,373727,205,490,12.62,0.08
Deux-Sèvres,2024,7993,19,384639,237,727,10.99,0.09
Dordogne,2020,1908,9,435477,11,11,173.45,0.01
Dordogne,2021,3528,11,449273,52,63,56.0,0.02
Dordogne,2022,5291,11,459873,60,123,43.02,0.02
Dordogne,2023,7414,11,466288,90,213,34.81,0.03
Dordogne,2024,8988,10,461063,562,775,11.6,0.09
Doubs,2020,3431,21,566751,16,34,100.91,0.01
Doubs,2021,5579,21,575216,27,61,91.46,0.01
Doubs,2022,8015,23,583522,97,158,50.73,0.02
Doubs,2023,11542,28,596062,157,315,36.64,0.03
Doubs,2024,14555,31,601912,573,888,16.39,0.06
Drôme,2020,3498,29,542676,277,349,10.02,0.1
Drôme,2021,5093,37,490045,43,392,12.99,0.08
Drôme,2022,7616,39,500707,193,585,13.02,0.08
Drôme,2023,10908,42,507049,175,760,14.35,0.07
Drôme,2024,16068,54,580516,665,1425,11.28,0.09
Essonne,2020,7475,36,1063687,71,125,59.8,0.02
Essonne,2021,13429,39,1122387,134,259,51.85,0.02
Essonne,2022,18298,44,1096294,200,459,39.86,0.03
Essonne,2023,25675,45,1102505,534,993,25.86,0.04
Essonne,2024,33285,50,1149926,1207,2200,15.13,0.07
Eure,2021,5350,15,611740,11,265,20.19,0.05
Eure,2022,8486,18,639831,102,367,23.12,0.04
Eure,2023,11960,15,651033,215,582,20.55,0.05
Eure,2024,15498,16,672625,375,957,16.19,0.06
Eure-et-Loir,2020,2319,2,439083,6,127,18.26,0.05
Eure-et-Loir,2021,3895,2,444500,38,165,23.61,0.04
Eure-et-Loir,2022,5416,3,436119,94,259,20.91,0.05
Eure-et-Loir,2023,7890,3,457314,194,453,17.42,0.06
Eure-et-Loir,2024,10016,4,464314,262,715,14.01,0.07
Finistère,2020,4677,10,949220,3,7,668.14,0.0
Finistère,2021,8005,16,956964,52,59,135.68,0.01
Finistère,2022,11972,18,964707,118,177,67.64,0.01
Finistère,2023,17417,21,982891,643,820,21.24,0.05
Finistère,2024,22662,24,997882,609,1429,15.86,0.06
Gard,2020,4273,9,770805,33,50,85.46,0.01
Gard,2021,7794,10,767937,138,188,41.46,0.02
Gard,2022,11649,11,781568,462,650,17.92,0.06
Gard,2023,16944,14,786797,215,865,19.59,0.05
Gard,2024,21216,15,790199,534,1399,15.17,0.07
Gers,2021,1858,9,208196,15,15,123.87,0.01
Gers,2022,2463,7,198925,46,61,40.38,0.02
Gers,2023,3495,8,201728,32,93,37.58,0.03
Gers,2024,4826,7,217273,207,300,16.09,0.06
Gironde,2020,9735,66,1493730,172,223,43.65,0.02
Gironde,2021,18261,68,1569995,280,503,36.3,0.03
Gironde,2022,25358,59,1528013,478,981,25.85,0.04
Gironde,2023,35634,57,1545644,470,1451,24.56,0.04
Gironde,2024,48231,66,1640294,1983,3434,14.05,0.07
Haut-Rhin,2020,5618,80,801749,21,33,170.24,0.01
Haut-Rhin,2021,9790,84,809543,72,105,93.24,0.01
Haut-Rhin,2022,14133,86,800786,181,286,49.42,0.02
Haut-Rhin,2023,20330,90,829421,271,557,36.5,0.03
Haut-Rhin,2024,24966,92,829368,609,1166,21.41,0.05
Haute-Corse,2020,1480,1,212699,7,13,113.85,0.01
Haute-Corse,2021,3559,1,218915,36,49,72.63,0.01
Haute-Corse,2022,6002,1,222118,42,91,65.96,0.02
Haute-Corse,2023,11089,2,232214,34,125,88.71,0.01
Haute-Corse,2024,11960,2,235437,30,155,77.16,0.01
Haute-Garonne,2020,10409,99,1298263,146,381,27.32,0.04
Haute-Garonne,2021,17369,101,1319269,302,683,25.43,0.04
Haute-Garonne,2022,25537,103,1347924,823,1506,16.96,0.06
Haute-Garonne,2023,36326,108,1347734,968,2474,14.68,0.07
Haute-Garonne,2024,46733,110,1387953,1333,3807,12.28,0.08
Haute-Loire,2020,914,12,248447,62,62,14.74,0.07
Haute-Loire,2021,1644,11,252912,23,85,19.34,0.05
Haute-Loire,2022,2421,10,256289,37,122,19.84,0.05
Haute-Loire,2023,3415,14,260289,16,138,24.75,0.04
Haute-Loire,2024,4546,12,264010,78,216,21.05,0.05
Haute-Marne,2021,814,3,164693,9,104,7.83,0.13
Haute-Marne,2022,1223,4,165597,90,194,6.3,0.16
Haute-Marne,2023,2069,5,188420,89,283,7.31,0.14
Haute-Marne,2024,2158,6,167574,73,356,6.06,0.16
Haute-Savoie,2020,7201,68,852276,354,407,17.69,0.06
Haute-Savoie,2021,12032,80,890171,38,445,27.04,0.04
Haute-Savoie,2022,17552,84,903053,309,754,23.28,0.04
Haute-Savoie,2023,25182,90,949211,205,959,26.26,0.04
Haute-Savoie,2024,31138,93,945738,691,1650,18.87,0.05
Haute-Saône,2020,795,4,248191,4,4,198.75,0.01
Haute-Saône,2022,1999,4,247338,6,10,199.9,0.01
Haute-Saône,2023,2949,3,247638,36,46,64.11,0.02
Haute-Saône,2024,4015,2,269340,188,234,17.16,0.06
Haute-Vienne,2020,1671,14,378483,1,34,49.15,0.02
Haute-Vienne,2021,3062,14,386255,57,91,33.65,0.03
Haute-Vienne,2022,4545,10,384632,58,149,30.5,0.03
Haute-Vienne,2023,6556,12,389835,132,281,23.33,0.04
Haute-Vienne,2024,8460,12,395781,364,645,13.12,0.08
Hautes-Alpes,2020,769,2,146699,174,179,4.3,0.23
Hautes-Alpes,2021,1307,5,150562,15,194,6.74,0.15
Hautes-Alpes,2022,1843,5,152015,22,216,8.53,0.12
Hautes-Alpes,2023,2533,6,158242,66,282,8.98,0.11
Hautes-Alpes,2024,3188,6,159002,184,466,6.84,0.15
Hautes-Pyrénées,2020,1042,17,232963,1,1,1042.0,0.0
Hautes-Pyrénées,2021,1786,18,244293,20,21,85.05,0.01
Hautes-Pyrénées,2022,2509,19,241701,225,246,10.2,0.1
Hautes-Pyrénées,2023,3561,19,249526,78,324,10.99,0.09
Hautes-Pyrénées,2024,4297,19,239032,160,484,8.88,0.11
Hauts-de-Seine,2020,23435,134,1444363,351,445,52.66,0.02
Hauts-de-Seine,2021,35886,134,1469612,636,1081,33.2,0.03
Hauts-de-Seine,2022,49308,143,1484625,375,1456,33.87,0.03
Hauts-de-Seine,2023,73494,174,1532630,484,1940,37.88,0.03
Hauts-de-Seine,2024,102336,704,1624935,1000,2940,34.81,0.03
Hérault,2020,6751,54,1154199,22,46,146.76,0.01
Hérault,2021,12492,55,1177526,97,143,87.36,0.01
Hérault,2022,18968,56,1178412,414,557,34.05,0.03
Hérault,2023,28358,58,1211267,453,1010,28.08,0.04
Hérault,2024,36305,62,1228065,1058,2068,17.56,0.06
Ille-et-Vilaine,2020,5744,24,983078,68,293,19.6,0.05
Ille-et-Vilaine,2021,9781,37,999477,67,360,27.17,0.04
Ille-et-Vilaine,2022,14801,39,1001747,196,556,26.62,0.04
Ille-et-Vilaine,2023,20607,47,1012251,367,923,22.33,0.04
Ille-et-Vilaine,2024,27517,54,1046218,593,1516,18.15,0.06
Indre,2020,672,2,216932,5,13,51.69,0.02
Indre,2021,1089,2,219279,4,17,64.06,0.02
Indre,2022,1642,1,224913,33,50,32.84,0.03
Indre,2023,2208,1,227561,18,68,32.47,0.03
Indre,2024,2805,3,222134,194,262,10.71,0.09
Indre-et-Loire,2020,3872,13,560889,15,387,10.01,0.1
Indre-et-Loire,2021,6446,10,569258,64,451,14.29,0.07
Indre-et-Loire,2022,9029,13,563505,109,560,16.12,0.06
Indre-et-Loire,2023,13178,13,581573,309,869,15.16,0.07
Indre-et-Loire,2024,16726,15,588175,294,1163,14.38,0.07
Isère,2020,8111,126,1234395,314,337,24.07,0.04
Isère,2021,14019,155,1263577,166,503,27.87,0.04
Isère,2022,19873,162,1255946,338,841,23.63,0.04
Isère,2023,29220,179,1297580,432,1273,22.95,0.04
Isère,2024,37301,169,1308412,868,2141,17.42,0.06
Jura,2020,1197,5,259798,10,27,44.33,0.02
Jura,2021,2134,6,275694,18,45,47.42,0.02
Jura,2022,3127,9,275764,29,74,42.26,0.02
Jura,2023,4326,9,279534,76,150,28.84,0.03
Jura,2024,5424,7,277412,152,302,17.96,0.06
Landes,2020,1946,24,441349,167,167,11.65,0.09
Landes,2021,3783,28,461006,41,208,18.19,0.05
Landes,2022,5821,30,465992,109,317,18.36,0.05
Landes,2023,8023,24,461106,172,489,16.41,0.06
Landes,2024,10712,33,473772,651,1140,9.4,0.11
Loir-et-Cher,2020,1721,8,337717,30,213,8.08,0.12
Loir-et-Cher,2021,2715,9,345812,40,253,10.73,0.09
Loir-et-Cher,2022,3888,8,344257,284,537,7.24,0.14
Loir-et-Cher,2023,5481,7,346865,164,701,7.82,0.13
Loir-et-Cher,2024,7142,9,358535,445,1146,6.23,0.16
Loire,2020,3324,44,726220,257,317,10.49,0.1
Loire,2021,6270,48,746773,107,424,14.79,0.07
Loire,2022,9449,51,759042,191,615,15.36,0.07
Loire,2023,13692,50,761598,181,796,17.2,0.06
Loire,2024,17817,41,779223,524,1320,13.5,0.07
Loire-Atlantique,2020,7829,327,1275465,9,21,372.81,0.0
Loire-Atlantique,2021,13790,343,1358844,475,496,27.8,0.04
