departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,cumsum_borne,nb_el/borne,borne/nb_el
Vaucluse,2022,9427,25,632019,267,462,20.4,0.05
Vaucluse,2023,13583,32,650683,236,698,19.46,0.05
Vaucluse,2024,16975,37,636581,698,1396,12.16,0.08
Vendée,2020,3925,23,663809,23,29,135.34,0.01
Vendée,2021,6699,31,684653,266,295,22.71,0.04
Vendée,2022,10094,50,699570,123,418,24.15,0.04
Vendée,2023,14100,73,700467,260,678,20.8,0.05
Vendée,2024,18093,86,714367,399,1077,16.8,0.06
Vienne,2020,2485,21,408543,14,460,5.4,0.19
Vienne,2021,5172,20,407955,226,686,7.54,0.13
Vienne,2022,6923,20,433728,114,800,8.65,0.12
Vienne,2023,9248,20,420207,167,967,9.56,0.1
Vienne,2024,10600,22,424138,297,1264,8.39,0.12
Vosges,2020,1487,5,377743,4,6,247.83,0.0
Vosges,2021,2700,7,380260,4,10,270.0,0.0
Vosges,2022,4146,11,392338,180,190,21.82,0.05
Vosges,2023,5863,14,394187,381,571,10.27,0.1
Vosges,2024,7715,16,401880,370,941,8.2,0.12
Yonne,2020,1222,8,326298,9,18,67.89,0.01
Yonne,2021,2191,10,341255,45,63,34.78,0.03
Yonne,2022,3166,17,340328,148,211,15.0,0.07
Yonne,2023,4397,18,340531,92,303,14.51,0.07
Yonne,2024,5844,19,348520,523,826,7.08,0.14
Yvelines,2020,16293,77,1376870,96,106,153.71,0.01
Yvelines,2021,25399,77,1404500,296,402,63.18,0.02
Yvelines,2022,36208,80,1407652,538,940,38.52,0.03
Yvelines,2023,51856,86,1429123,794,1734,29.91,0.03
Yvelines,2024,85133,93,1525178,1010,2744,31.03,0.03
