departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP
Haute-Corse,2022,6002,1,222118
Haute-Corse,2023,11089,2,232214
Haute-Corse,2024,11960,2,235437
Haute-Garonne,2020,10409,99,1298263
Haute-Garonne,2021,17369,101,1319269
Haute-Garonne,2022,25537,103,1347924
Haute-Garonne,2023,36326,108,1347734
Haute-Garonne,2024,46733,110,1387953
Haute-Loire,2020,914,12,248447
Haute-Loire,2021,1644,11,252912
Haute-Loire,2022,2421,10,256289
Haute-Loire,2023,3415,14,260289
Haute-Loire,2024,4546,12,264010
Haute-Marne,2020,603,3,182352
Haute-Marne,2021,814,3,164693
Haute-Marne,2022,1223,4,165597
Haute-Marne,2023,2069,5,188420
Haute-Marne,2024,2158,6,167574
Haute-Savoie,2020,7201,68,852276
Haute-Savoie,2021,12032,80,890171
Haute-Savoie,2022,17552,84,903053
Haute-Savoie,2023,25182,90,949211
Haute-Savoie,2024,31138,93,945738
Haute-Saône,2020,795,4,248191
Haute-Saône,2021,1267,4,239553
Haute-Saône,2022,1999,4,247338
Haute-Saône,2023,2949,3,247638
Haute-Saône,2024,4015,2,269340
Haute-Vienne,2020,1671,14,378483
Haute-Vienne,2021,3062,14,386255
Haute-Vienne,2022,4545,10,384632
Haute-Vienne,2023,6556,12,389835
Haute-Vienne,2024,8460,12,395781
Hautes-Alpes,2020,769,2,146699
Hautes-Alpes,2021,1307,5,150562
Hautes-Alpes,2022,1843,5,152015
Hautes-Alpes,2023,2533,6,158242
Hautes-Alpes,2024,3188,6,159002
Hautes-Pyrénées,2020,1042,17,232963
Hautes-Pyrénées,2021,1786,18,244293
Hautes-Pyrénées,2022,2509,19,241701
Hautes-Pyrénées,2023,3561,19,249526
Hautes-Pyrénées,2024,4297,19,239032
Hauts-de-Seine,2020,23435,134,1444363
Hauts-de-Seine,2021,35886,134,1469612
Hauts-de-Seine,2022,49308,143,1484625
Hauts-de-Seine,2023,73494,174,1532630
Hauts-de-Seine,2024,102336,704,1624935
Hérault,2020,6751,54,1154199
Hérault,2021,12492,55,1177526
Hérault,2022,18968,56,1178412
Hérault,2023,28358,58,1211267
Hérault,2024,36305,62,1228065
Ille-et-Vilaine,2020,5744,24,983078
Ille-et-Vilaine,2021,9781,37,999477
Ille-et-Vilaine,2022,14801,39,1001747
Ille-et-Vilaine,2023,20607,47,1012251
Ille-et-Vilaine,2024,27517,54,1046218
Indre,2020,672,2,216932
Indre,2021,1089,2,219279
Indre,2022,1642,1,224913
Indre,2023,2208,1,227561
Indre,2024,2805,3,222134
Indre-et-Loire,2020,3872,13,560889
Indre-et-Loire,2021,6446,10,569258
Indre-et-Loire,2022,9029,13,563505
Indre-et-Loire,2023,13178,13,581573
Indre-et-Loire,2024,16726,15,588175
Isère,2020,8111,126,1234395
Isère,2021,14019,155,1263577
Isère,2022,19873,162,1255946
Isère,2023,29220,179,1297580
Isère,2024,37301,169,1308412
Jura,2020,1197,5,259798
Jura,2021,2134,6,275694
Jura,2022,3127,9,275764
Jura,2023,4326,9,279534
Jura,2024,5424,7,277412
Landes,2020,1946,24,441349
Landes,2021,3783,28,461006
Landes,2022,5821,30,465992
Landes,2023,8023,24,461106
Landes,2024,10712,33,473772
Loir-et-Cher,2020,1721,8,337717
Loir-et-Cher,2021,2715,9,345812
Loir-et-Cher,2022,3888,8,344257
Loir-et-Cher,2023,5481,7,346865
Loir-et-Cher,2024,7142,9,358535
Loire,2020,3324,44,726220
Loire,2021,6270,48,746773
Loire,2022,9449,51,759042
Loire,2023,13692,50,761598
Loire,2024,17817,41,779223
Loire-Atlantique,2020,7829,327,1275465
Loire-Atlantique,2021,13790,343,1358844
Loire-Atlantique,2022,19308,336,1300406
Loire-Atlantique,2023,27967,362,1323179
Loire-Atlantique,2024,35983,362,1326840
Loiret,2020,3618,24,668162
Loiret,2021,6240,27,697849
Loiret,2022,8802,29,691956
Loiret,2023,12870,28,698114
Loiret,2024,15337,26,679165
Lot,2020,884,6,190935
Lot,2021,1530,7,193799
Lot,2022,2210,7,198302
Lot,2023,2914,7,198404
Lot,2024,3577,7,199581
Lot-et-Garonne,2020,1834,14,352847
Lot-et-Garonne,2021,3187,17,355104
Lot-et-Garonne,2022,4614,15,361298
Lot-et-Garonne,2023,6326,19,362872
Lot-et-Garonne,2024,7599,22,358070
Lozère,2020,252,0,82277
Lozère,2021,401,0,81802
Lozère,2022,582,0,84800
Lozère,2023,781,1,86147
Lozère,2024,996,1,86279
Maine-et-Loire,2020,4245,49,733356
Maine-et-Loire,2021,7168,59,755428
Maine-et-Loire,2022,10527,73,765104
Maine-et-Loire,2023,14631,81,762632
Maine-et-Loire,2024,19634,89,781720
Manche,2020,2865,23,486462
Manche,2021,4757,22,492148
Manche,2022,6995,26,496924
Manche,2023,10319,28,509006
Manche,2024,13024,27,514065
Marne,2020,2947,8,551392
Marne,2021,5555,10,560936
Marne,2022,8368,11,566718
Marne,2023,12128,19,572827
Marne,2024,14948,29,577248
Mayenne,2020,1472,6,292081
Mayenne,2021,2356,4,291587
Mayenne,2022,2833,8,260858
Mayenne,2023,5159,14,310065
Mayenne,2024,5058,10,257625
Meurthe-et-Moselle,2020,3422,27,698450
Meurthe-et-Moselle,2021,6168,32,699973
Meurthe-et-Moselle,2022,9231,37,702646
Meurthe-et-Moselle,2023,13672,39,719280
Meurthe-et-Moselle,2024,17792,52,721933
Meuse,2020,700,7,200211
Meuse,2021,1030,5,186714
Meuse,2022,1772,6,206031
Meuse,2023,2281,7,194070
Meuse,2024,2966,6,195076
Morbihan,2020,3841,48,771656
Morbihan,2021,6638,62,791584
Morbihan,2022,9702,72,793489
Morbihan,2023,13781,79,810327
Morbihan,2024,17984,85,820586
Moselle,2020,4872,61,1112180
Moselle,2021,9256,64,1130048
Moselle,2022,13971,66,1134582
Moselle,2023,20849,66,1154517
Moselle,2024,27312,63,1176733
Nièvre,2020,660,43,218083
Nièvre,2021,1186,41,219765
Nièvre,2022,1745,40,223087
Nièvre,2023,2399,36,228327
Nièvre,2024,3011,35,230094
Nord,2020,13314,218,2481726
Nord,2021,23787,227,2515683
Nord,2022,35642,223,2555317
Nord,2023,52283,224,2583964
Nord,2024,70272,230,2634578
Oise,2020,6220,40,1112294
Oise,2021,13558,41,1137194
Oise,2022,18645,39,1153743
Oise,2023,24936,44,1144590
Oise,2024,24076,46,1104696
Orne,2020,1095,6,291849
Orne,2021,1748,10,283199
Orne,2022,2581,9,286807
Orne,2023,3788,9,304382
Orne,2024,4558,10,291617
Paris,2020,21284,165,1134114
Paris,2021,34605,163,1141260
Paris,2022,47874,172,1148236
Paris,2023,68039,267,1175290
Paris,2024,87957,259,1232080
Pas-de-Calais,2020,5596,40,1355307
Pas-de-Calais,2021,10325,37,1387882
Pas-de-Calais,2022,16260,42,1391776
Pas-de-Calais,2023,24734,52,1420045
Pas-de-Calais,2024,32778,52,1445862
Puy-de-Dôme,2020,3350,34,654720
Puy-de-Dôme,2021,5939,35,662495
Puy-de-Dôme,2022,8768,39,674847
Puy-de-Dôme,2023,12646,42,677283
Puy-de-Dôme,2024,16178,44,689245
Pyrénées-Atlantiques,2020,3728,24,689678
Pyrénées-Atlantiques,2021,6734,22,698364
Pyrénées-Atlantiques,2022,9775,47,699595
Pyrénées-Atlantiques,2023,13741,52,710007
Pyrénées-Atlantiques,2024,17210,52,717529
Pyrénées-Orientales,2020,2284,6,506610
Pyrénées-Orientales,2021,4459,9,499152
Pyrénées-Orientales,2022,6697,10,513097
Pyrénées-Orientales,2023,9905,10,530578
Pyrénées-Orientales,2024,13007,13,557691
Rhône,2020,13538,180,1561281
Rhône,2021,24812,187,1589132
Rhône,2022,35408,206,1639941
Rhône,2023,49879,204,1631942
Rhône,2024,62202,212,1641606
Sarthe,2020,2268,14,530316
Sarthe,2021,4278,17,551896
Sarthe,2022,6074,17,538889
Sarthe,2023,8637,18,549235
Sarthe,2024,11217,19,559248
Savoie,2020,3094,43,452034
Savoie,2021,5336,38,457502
Savoie,2022,7678,40,466308
Savoie,2023,11077,44,479900
Savoie,2024,13646,43,479229
Saône-et-Loire,2020,2185,25,528891
Saône-et-Loire,2021,3924,22,525975
Saône-et-Loire,2022,5566,20,523380
Saône-et-Loire,2023,8099,21,538797
Saône-et-Loire,2024,10471,24,547431
Seine-Maritime,2020,7337,81,1264304
Seine-Maritime,2021,13411,86,1276452
Seine-Maritime,2022,21271,85,1284716
Seine-Maritime,2023,32724,99,1308516
Seine-Maritime,2024,38562,95,1321909
Seine-Saint-Denis,2020,6046,99,1031067
Seine-Saint-Denis,2021,11124,314,1188196
Seine-Saint-Denis,2022,14222,117,1082327
Seine-Saint-Denis,2023,23199,127,1129266
Seine-Saint-Denis,2024,37270,129,1296135
Seine-et-Marne,2020,7931,287,1321511
Seine-et-Marne,2021,13940,293,1359189
Seine-et-Marne,2022,20551,288,1356319
Seine-et-Marne,2023,29851,292,1367348
Seine-et-Marne,2024,39421,204,1421434
Somme,2020,2251,11,564236
Somme,2021,4338,10,564811
Somme,2022,6806,10,574644
Somme,2023,10941,13,595460
Somme,2024,11117,14,576245
Tarn,2020,1718,15,343122
Tarn,2021,3565,16,397171
Tarn,2022,4452,15,343541
Tarn,2023,6407,17,353046
Tarn,2024,8227,19,353174
Tarn-et-Garonne,2020,1245,7,257333
Tarn-et-Garonne,2021,2249,8,269316
Tarn-et-Garonne,2022,3382,9,268660
