nom_departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,nb_el/borne,borne/nb_el,nom_region
Puy-de-Dôme,2023,12646,42,677283,304,41.6,0.02,Auvergne-Rhône-Alpes
Puy-de-Dôme,2024,16178,44,689245,590,27.42,0.04,Auvergne-Rhône-Alpes
Pyrénées-Atlantiques,2020,3728,24,689678,114,32.7,0.03,Nouvelle-Aquitaine
Pyrénées-Atlantiques,2021,6734,22,698364,24,280.58,0.0,Nouvelle-Aquitaine
Pyrénées-Atlantiques,2022,9775,47,699595,118,82.84,0.01,Nouvelle-Aquitaine
Pyrénées-Atlantiques,2023,13741,52,710007,234,58.72,0.02,Nouvelle-Aquitaine
Pyrénées-Atlantiques,2024,17210,52,717529,718,23.97,0.04,Nouvelle-Aquitaine
Pyrénées-Orientales,2020,2284,6,506610,28,81.57,0.01,Occitanie
Pyrénées-Orientales,2021,4459,9,499152,79,56.44,0.02,Occitanie
Pyrénées-Orientales,2022,6697,10,513097,183,36.6,0.03,Occitanie
Pyrénées-Orientales,2023,9905,10,530578,153,64.74,0.02,Occitanie
Pyrénées-Orientales,2024,13007,13,557691,432,30.11,0.03,Occitanie
Rhône,2020,13538,180,1561281,233,58.1,0.02,Auvergne-Rhône-Alpes
Rhône,2021,24812,187,1589132,436,56.91,0.02,Auvergne-Rhône-Alpes
Rhône,2022,35408,206,1639941,490,72.26,0.01,Auvergne-Rhône-Alpes
Rhône,2023,49879,204,1631942,401,124.39,0.01,Auvergne-Rhône-Alpes
Rhône,2024,62202,212,1641606,802,77.56,0.01,Auvergne-Rhône-Alpes
Sarthe,2020,2268,14,530316,26,87.23,0.01,Pays de la Loire
Sarthe,2021,4278,17,551896,72,59.42,0.02,Pays de la Loire
Sarthe,2022,6074,17,538889,111,54.72,0.02,Pays de la Loire
Sarthe,2023,8637,18,549235,185,46.69,0.02,Pays de la Loire
Sarthe,2024,11217,19,559248,263,42.65,0.02,Pays de la Loire
Savoie,2020,3094,43,452034,140,22.1,0.05,Auvergne-Rhône-Alpes
Savoie,2021,5336,38,457502,56,95.29,0.01,Auvergne-Rhône-Alpes
Savoie,2022,7678,40,466308,246,31.21,0.03,Auvergne-Rhône-Alpes
Savoie,2023,11077,44,479900,295,37.55,0.03,Auvergne-Rhône-Alpes
Savoie,2024,13646,43,479229,475,28.73,0.03,Auvergne-Rhône-Alpes
Saône-et-Loire,2021,3924,22,525975,24,163.5,0.01,Bourgogne-Franche-Comté
Saône-et-Loire,2022,5566,20,523380,162,34.36,0.03,Bourgogne-Franche-Comté
Saône-et-Loire,2023,8099,21,538797,111,72.96,0.01,Bourgogne-Franche-Comté
Saône-et-Loire,2024,10471,24,547431,525,19.94,0.05,Bourgogne-Franche-Comté
Seine-Maritime,2020,7337,81,1264304,30,244.57,0.0,Normandie
Seine-Maritime,2021,13411,86,1276452,126,106.44,0.01,Normandie
Seine-Maritime,2022,21271,85,1284716,337,63.12,0.02,Normandie
Seine-Maritime,2023,32724,99,1308516,619,52.87,0.02,Normandie
Seine-Maritime,2024,38562,95,1321909,848,45.47,0.02,Normandie
Seine-Saint-Denis,2020,6046,99,1031067,5,1209.2,0.0,Île-de-France
Seine-Saint-Denis,2021,11124,314,1188196,193,57.64,0.02,Île-de-France
Seine-Saint-Denis,2022,14222,117,1082327,441,32.25,0.03,Île-de-France
Seine-Saint-Denis,2023,23199,127,1129266,303,76.56,0.01,Île-de-France
Seine-Saint-Denis,2024,37270,129,1296135,874,42.64,0.02,Île-de-France
Seine-et-Marne,2020,7931,287,1321511,42,188.83,0.01,Île-de-France
Seine-et-Marne,2021,13940,293,1359189,127,109.76,0.01,Île-de-France
Seine-et-Marne,2022,20551,288,1356319,577,35.62,0.03,Île-de-France
Seine-et-Marne,2023,29851,292,1367348,1070,27.9,0.04,Île-de-France
Seine-et-Marne,2024,39421,204,1421434,1374,28.69,0.03,Île-de-France
Somme,2020,2251,11,564236,9,250.11,0.0,Hauts-de-France
Somme,2021,4338,10,564811,44,98.59,0.01,Hauts-de-France
Somme,2022,6806,10,574644,42,162.05,0.01,Hauts-de-France
Somme,2023,10941,13,595460,207,52.86,0.02,Hauts-de-France
Somme,2024,11117,14,576245,712,15.61,0.06,Hauts-de-France
Tarn,2020,1718,15,343122,14,122.71,0.01,Occitanie
Tarn,2021,3565,16,397171,96,37.14,0.03,Occitanie
Tarn,2022,4452,15,343541,413,10.78,0.09,Occitanie
Tarn,2023,6407,17,353046,200,32.03,0.03,Occitanie
Tarn,2024,8227,19,353174,180,45.71,0.02,Occitanie
Tarn-et-Garonne,2020,1245,7,257333,4,311.25,0.0,Occitanie
Tarn-et-Garonne,2021,2249,8,269316,16,140.56,0.01,Occitanie
Tarn-et-Garonne,2022,3382,9,268660,72,46.97,0.02,Occitanie
Tarn-et-Garonne,2023,4846,8,273819,144,33.65,0.03,Occitanie
Tarn-et-Garonne,2024,6288,9,276792,339,18.55,0.05,Occitanie
Territoire de Belfort,2020,645,6,139546,5,129.0,0.01,Bourgogne-Franche-Comté
Territoire de Belfort,2021,1144,5,141009,2,572.0,0.0,Bourgogne-Franche-Comté
Territoire de Belfort,2022,1701,5,143914,5,340.2,0.0,Bourgogne-Franche-Comté
Territoire de Belfort,2023,2542,4,145521,74,34.35,0.03,Bourgogne-Franche-Comté
Territoire de Belfort,2024,3173,3,148835,200,15.86,0.06,Bourgogne-Franche-Comté
Val-d'Oise,2020,6134,26,1030021,18,340.78,0.0,Île-de-France
Val-d'Oise,2021,10607,44,1040367,98,108.23,0.01,Île-de-France
Val-d'Oise,2022,15158,51,1080051,258,58.75,0.02,Île-de-France
Val-d'Oise,2023,21951,57,1100583,545,40.28,0.02,Île-de-France
Val-d'Oise,2024,30680,63,1101897,733,41.86,0.02,Île-de-France
Val-de-Marne,2020,6447,67,988269,102,63.21,0.02,Île-de-France
Val-de-Marne,2021,11552,72,1001063,239,48.33,0.02,Île-de-France
Val-de-Marne,2022,16601,71,1007589,348,47.7,0.02,Île-de-France
Val-de-Marne,2023,24425,69,1025073,467,52.3,0.02,Île-de-France
Val-de-Marne,2024,31571,70,1044243,744,42.43,0.02,Île-de-France
Var,2020,6865,10,1150467,359,19.12,0.05,Provence-Alpes-Côte d'Azur
Var,2021,12940,15,1177323,213,60.75,0.02,Provence-Alpes-Côte d'Azur
Var,2022,18606,19,1148010,265,70.21,0.01,Provence-Alpes-Côte d'Azur
Var,2023,27917,23,1208509,492,56.74,0.02,Provence-Alpes-Côte d'Azur
Var,2024,34223,32,1185442,673,50.85,0.02,Provence-Alpes-Côte d'Azur
Vaucluse,2020,3548,21,598859,63,56.32,0.02,Provence-Alpes-Côte d'Azur
Vaucluse,2021,6252,24,611174,78,80.15,0.01,Provence-Alpes-Côte d'Azur
Vaucluse,2022,9427,25,632019,267,35.31,0.03,Provence-Alpes-Côte d'Azur
Vaucluse,2023,13583,32,650683,236,57.56,0.02,Provence-Alpes-Côte d'Azur
Vaucluse,2024,16975,37,636581,698,24.32,0.04,Provence-Alpes-Côte d'Azur
Vendée,2020,3925,23,663809,23,170.65,0.01,Pays de la Loire
Vendée,2021,6699,31,684653,266,25.18,0.04,Pays de la Loire
Vendée,2022,10094,50,699570,123,82.07,0.01,Pays de la Loire
Vendée,2023,14100,73,700467,260,54.23,0.02,Pays de la Loire
Vendée,2024,18093,86,714367,399,45.35,0.02,Pays de la Loire
Vienne,2020,2485,21,408543,14,177.5,0.01,Nouvelle-Aquitaine
Vienne,2021,5172,20,407955,226,22.88,0.04,Nouvelle-Aquitaine
Vienne,2022,6923,20,433728,114,60.73,0.02,Nouvelle-Aquitaine
Vienne,2023,9248,20,420207,167,55.38,0.02,Nouvelle-Aquitaine
Vienne,2024,10600,22,424138,297,35.69,0.03,Nouvelle-Aquitaine
Vosges,2020,1487,5,377743,4,371.75,0.0,Grand Est
Vosges,2021,2700,7,380260,4,675.0,0.0,Grand Est
Vosges,2022,4146,11,392338,180,23.03,0.04,Grand Est
Vosges,2023,5863,14,394187,381,15.39,0.06,Grand Est
Vosges,2024,7715,16,401880,370,20.85,0.05,Grand Est
Yonne,2020,1222,8,326298,9,135.78,0.01,Bourgogne-Franche-Comté
Yonne,2021,2191,10,341255,45,48.69,0.02,Bourgogne-Franche-Comté
Yonne,2022,3166,17,340328,148,21.39,0.05,Bourgogne-Franche-Comté
Yonne,2023,4397,18,340531,92,47.79,0.02,Bourgogne-Franche-Comté
Yonne,2024,5844,19,348520,523,11.17,0.09,Bourgogne-Franche-Comté
Yvelines,2020,16293,77,1376870,96,169.72,0.01,Île-de-France
Yvelines,2021,25399,77,1404500,296,85.81,0.01,Île-de-France
Yvelines,2022,36208,80,1407652,538,67.3,0.01,Île-de-France
Yvelines,2023,51856,86,1429123,794,65.31,0.02,Île-de-France
Yvelines,2024,85133,93,1525178,1010,84.29,0.01,Île-de-France
