nom_departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,nb_el/borne,borne/nb_el,nom_region
Charente-Maritime,2021,6021,6,588018,66,91.23,0.01,Nouvelle-Aquitaine
Charente-Maritime,2022,10430,10,668375,165,63.21,0.02,Nouvelle-Aquitaine
Charente-Maritime,2023,14399,10,673914,147,97.95,0.01,Nouvelle-Aquitaine
Charente-Maritime,2024,14754,10,577784,874,16.88,0.06,Nouvelle-Aquitaine
Cher,2020,1228,38,304224,23,53.39,0.02,Centre-Val de Loire
Cher,2021,2055,35,306461,78,26.35,0.04,Centre-Val de Loire
Cher,2022,2953,29,309249,38,77.71,0.01,Centre-Val de Loire
Cher,2023,4195,29,317444,134,31.31,0.03,Centre-Val de Loire
Cher,2024,5401,24,322361,239,22.6,0.04,Centre-Val de Loire
Corrèze,2020,1048,8,248802,2,524.0,0.0,Nouvelle-Aquitaine
Corrèze,2021,1928,11,254036,9,214.22,0.0,Nouvelle-Aquitaine
Corrèze,2022,2845,11,257464,49,58.06,0.02,Nouvelle-Aquitaine
Corrèze,2023,3915,12,255892,169,23.17,0.04,Nouvelle-Aquitaine
Corrèze,2024,5008,11,260873,369,13.57,0.07,Nouvelle-Aquitaine
Corse-du-Sud,2020,964,1,192498,10,96.4,0.01,Corse
Corse-du-Sud,2021,1895,1,197971,50,37.9,0.03,Corse
Corse-du-Sud,2022,2939,1,202937,57,51.56,0.02,Corse
Corse-du-Sud,2023,4471,1,207097,42,106.45,0.01,Corse
Corse-du-Sud,2024,5444,1,208163,29,187.72,0.01,Corse
Creuse,2022,855,0,126168,18,47.5,0.02,Nouvelle-Aquitaine
Creuse,2023,1190,0,128612,10,119.0,0.01,Nouvelle-Aquitaine
Creuse,2024,1522,2,130410,139,10.95,0.09,Nouvelle-Aquitaine
Côte-d'Or,2020,2781,13,502990,113,24.61,0.04,Bourgogne-Franche-Comté
Côte-d'Or,2021,4910,13,509657,125,39.28,0.03,Bourgogne-Franche-Comté
Côte-d'Or,2022,7292,14,519622,333,21.9,0.05,Bourgogne-Franche-Comté
Côte-d'Or,2023,10057,16,514140,363,27.71,0.04,Bourgogne-Franche-Comté
Côte-d'Or,2024,12906,17,521992,433,29.81,0.03,Bourgogne-Franche-Comté
Côtes-d'Armor,2020,2869,15,638895,2,1434.5,0.0,Bretagne
Côtes-d'Armor,2021,4888,16,648356,27,181.04,0.01,Bretagne
Côtes-d'Armor,2022,7285,18,658051,43,169.42,0.01,Bretagne
Côtes-d'Armor,2023,10381,22,668264,563,18.44,0.05,Bretagne
Côtes-d'Armor,2024,13266,32,677233,420,31.59,0.03,Bretagne
Deux-Sèvres,2020,1877,19,368176,14,134.07,0.01,Nouvelle-Aquitaine
Deux-Sèvres,2021,3020,15,365830,32,94.38,0.01,Nouvelle-Aquitaine
Deux-Sèvres,2022,4365,16,366920,97,45.0,0.02,Nouvelle-Aquitaine
Deux-Sèvres,2023,6183,16,373727,205,30.16,0.03,Nouvelle-Aquitaine
Deux-Sèvres,2024,7993,19,384639,237,33.73,0.03,Nouvelle-Aquitaine
Dordogne,2020,1908,9,435477,11,173.45,0.01,Nouvelle-Aquitaine
Dordogne,2021,3528,11,449273,52,67.85,0.01,Nouvelle-Aquitaine
Dordogne,2022,5291,11,459873,60,88.18,0.01,Nouvelle-Aquitaine
Dordogne,2023,7414,11,466288,90,82.38,0.01,Nouvelle-Aquitaine
Dordogne,2024,8988,10,461063,562,15.99,0.06,Nouvelle-Aquitaine
Doubs,2020,3431,21,566751,16,214.44,0.0,Bourgogne-Franche-Comté
Doubs,2021,5579,21,575216,27,206.63,0.0,Bourgogne-Franche-Comté
Doubs,2022,8015,23,583522,97,82.63,0.01,Bourgogne-Franche-Comté
Doubs,2023,11542,28,596062,157,73.52,0.01,Bourgogne-Franche-Comté
Doubs,2024,14555,31,601912,573,25.4,0.04,Bourgogne-Franche-Comté
Drôme,2020,3498,29,542676,277,12.63,0.08,Auvergne-Rhône-Alpes
Drôme,2021,5093,37,490045,43,118.44,0.01,Auvergne-Rhône-Alpes
Drôme,2022,7616,39,500707,193,39.46,0.03,Auvergne-Rhône-Alpes
Drôme,2023,10908,42,507049,175,62.33,0.02,Auvergne-Rhône-Alpes
Drôme,2024,16068,54,580516,665,24.16,0.04,Auvergne-Rhône-Alpes
Essonne,2020,7475,36,1063687,71,105.28,0.01,Île-de-France
Essonne,2021,13429,39,1122387,134,100.22,0.01,Île-de-France
Essonne,2022,18298,44,1096294,200,91.49,0.01,Île-de-France
Essonne,2023,25675,45,1102505,534,48.08,0.02,Île-de-France
Essonne,2024,33285,50,1149926,1207,27.58,0.04,Île-de-France
Eure,2021,5350,15,611740,11,486.36,0.0,Normandie
Eure,2022,8486,18,639831,102,83.2,0.01,Normandie
Eure,2023,11960,15,651033,215,55.63,0.02,Normandie
Eure,2024,15498,16,672625,375,41.33,0.02,Normandie
Eure-et-Loir,2020,2319,2,439083,6,386.5,0.0,Centre-Val de Loire
Eure-et-Loir,2021,3895,2,444500,38,102.5,0.01,Centre-Val de Loire
Eure-et-Loir,2022,5416,3,436119,94,57.62,0.02,Centre-Val de Loire
Eure-et-Loir,2023,7890,3,457314,194,40.67,0.02,Centre-Val de Loire
Eure-et-Loir,2024,10016,4,464314,262,38.23,0.03,Centre-Val de Loire
Finistère,2020,4677,10,949220,3,1559.0,0.0,Bretagne
Finistère,2021,8005,16,956964,52,153.94,0.01,Bretagne
Finistère,2022,11972,18,964707,118,101.46,0.01,Bretagne
