nom_departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,borne/nb_el,nom_region,nb_borne_cumule,nb_el/borne
Cantal,2021,853,0,139633,24,0.03,Auvergne-Rhône-Alpes,24,35.541666666666664
Cantal,2022,1290,0,145524,13,0.01,Auvergne-Rhône-Alpes,37,34.86486486486486
Cantal,2023,1807,1,134858,28,0.02,Auvergne-Rhône-Alpes,65,27.8
Cantal,2024,2485,1,145221,163,0.07,Auvergne-Rhône-Alpes,228,10.899122807017545
Charente,2020,1743,3,338455,40,0.02,Nouvelle-Aquitaine,40,43.575
Charente,2021,2924,6,333380,58,0.02,Nouvelle-Aquitaine,98,29.836734693877553
Charente,2022,4324,5,339555,40,0.01,Nouvelle-Aquitaine,138,31.333333333333332
Charente,2023,5879,3,340524,95,0.02,Nouvelle-Aquitaine,233,25.23175965665236
Charente,2024,7462,2,355886,412,0.06,Nouvelle-Aquitaine,645,11.568992248062015
Charente-Maritime,2020,4244,0,648710,10,0.0,Nouvelle-Aquitaine,10,424.4
Charente-Maritime,2021,6021,6,588018,66,0.01,Nouvelle-Aquitaine,76,79.22368421052632
Charente-Maritime,2022,10430,10,668375,165,0.02,Nouvelle-Aquitaine,241,43.27800829875519
Charente-Maritime,2023,14399,10,673914,147,0.01,Nouvelle-Aquitaine,388,37.11082474226804
Charente-Maritime,2024,14754,10,577784,874,0.06,Nouvelle-Aquitaine,1262,11.690966719492868
Cher,2020,1228,38,304224,23,0.02,Centre-Val de Loire,23,53.391304347826086
Cher,2021,2055,35,306461,78,0.04,Centre-Val de Loire,101,20.346534653465348
Cher,2022,2953,29,309249,38,0.01,Centre-Val de Loire,139,21.244604316546763
Cher,2023,4195,29,317444,134,0.03,Centre-Val de Loire,273,15.366300366300367
Cher,2024,5401,24,322361,239,0.04,Centre-Val de Loire,512,10.548828125
Corrèze,2020,1048,8,248802,2,0.0,Nouvelle-Aquitaine,2,524.0
Corrèze,2021,1928,11,254036,9,0.0,Nouvelle-Aquitaine,11,175.27272727272728
Corrèze,2022,2845,11,257464,49,0.02,Nouvelle-Aquitaine,60,47.416666666666664
Corrèze,2023,3915,12,255892,169,0.04,Nouvelle-Aquitaine,229,17.096069868995635
Corrèze,2024,5008,11,260873,369,0.07,Nouvelle-Aquitaine,598,8.37458193979933
Corse-du-Sud,2020,964,1,192498,10,0.01,Corse,10,96.4
Corse-du-Sud,2021,1895,1,197971,50,0.03,Corse,60,31.583333333333332
Corse-du-Sud,2022,2939,1,202937,57,0.02,Corse,117,25.11965811965812
Corse-du-Sud,2023,4471,1,207097,42,0.01,Corse,159,28.11949685534591
Corse-du-Sud,2024,5444,1,208163,29,0.01,Corse,188,28.95744680851064
Creuse,2022,855,0,126168,18,0.02,Nouvelle-Aquitaine,18,47.5
Creuse,2023,1190,0,128612,10,0.01,Nouvelle-Aquitaine,28,42.5
Creuse,2024,1522,2,130410,139,0.09,Nouvelle-Aquitaine,167,9.113772455089821
Côte-d'Or,2020,2781,13,502990,113,0.04,Bourgogne-Franche-Comté,113,24.61061946902655
Côte-d'Or,2021,4910,13,509657,125,0.03,Bourgogne-Franche-Comté,238,20.630252100840337
Côte-d'Or,2022,7292,14,519622,333,0.05,Bourgogne-Franche-Comté,571,12.770577933450088
Côte-d'Or,2023,10057,16,514140,363,0.04,Bourgogne-Franche-Comté,934,10.767665952890793
Côte-d'Or,2024,12906,17,521992,433,0.03,Bourgogne-Franche-Comté,1367,9.441111923920994
Côtes-d'Armor,2020,2869,15,638895,2,0.0,Bretagne,2,1434.5
Côtes-d'Armor,2021,4888,16,648356,27,0.01,Bretagne,29,168.55172413793105
Côtes-d'Armor,2022,7285,18,658051,43,0.01,Bretagne,72,101.18055555555556
Côtes-d'Armor,2023,10381,22,668264,563,0.05,Bretagne,635,16.34803149606299
Côtes-d'Armor,2024,13266,32,677233,420,0.03,Bretagne,1055,12.574407582938388
Deux-Sèvres,2020,1877,19,368176,14,0.01,Nouvelle-Aquitaine,14,134.07142857142858
Deux-Sèvres,2021,3020,15,365830,32,0.01,Nouvelle-Aquitaine,46,65.65217391304348
Deux-Sèvres,2022,4365,16,366920,97,0.02,Nouvelle-Aquitaine,143,30.524475524475523
Deux-Sèvres,2023,6183,16,373727,205,0.03,Nouvelle-Aquitaine,348,17.767241379310345
Deux-Sèvres,2024,7993,19,384639,237,0.03,Nouvelle-Aquitaine,585,13.663247863247863
Dordogne,2020,1908,9,435477,11,0.01,Nouvelle-Aquitaine,11,173.45454545454547
Dordogne,2021,3528,11,449273,52,0.01,Nouvelle-Aquitaine,63,56.0
Dordogne,2022,5291,11,459873,60,0.01,Nouvelle-Aquitaine,123,43.016260162601625
Dordogne,2023,7414,11,466288,90,0.01,Nouvelle-Aquitaine,213,34.8075117370892
Dordogne,2024,8988,10,461063,562,0.06,Nouvelle-Aquitaine,775,11.59741935483871
Doubs,2020,3431,21,566751,16,0.0,Bourgogne-Franche-Comté,16,214.4375
Doubs,2021,5579,21,575216,27,0.0,Bourgogne-Franche-Comté,43,129.74418604651163
Doubs,2022,8015,23,583522,97,0.01,Bourgogne-Franche-Comté,140,57.25
Doubs,2023,11542,28,596062,157,0.01,Bourgogne-Franche-Comté,297,38.861952861952865
Doubs,2024,14555,31,601912,573,0.04,Bourgogne-Franche-Comté,870,16.729885057471265
Drôme,2020,3498,29,542676,277,0.08,Auvergne-Rhône-Alpes,277,12.628158844765343
Drôme,2021,5093,37,490045,43,0.01,Auvergne-Rhône-Alpes,320,15.915625
Drôme,2022,7616,39,500707,193,0.03,Auvergne-Rhône-Alpes,513,14.846003898635477
Drôme,2023,10908,42,507049,175,0.02,Auvergne-Rhône-Alpes,688,15.854651162790697
Drôme,2024,16068,54,580516,665,0.04,Auvergne-Rhône-Alpes,1353,11.875831485587582
Essonne,2020,7475,36,1063687,71,0.01,Île-de-France,71,105.28169014084507
Essonne,2021,13429,39,1122387,134,0.01,Île-de-France,205,65.50731707317073
Essonne,2022,18298,44,1096294,200,0.01,Île-de-France,405,45.18024691358025
Essonne,2023,25675,45,1102505,534,0.02,Île-de-France,939,27.342917997870074
Essonne,2024,33285,50,1149926,1207,0.04,Île-de-France,2146,15.510251630941285
Eure,2021,5350,15,611740,11,0.0,Normandie,11,486.3636363636364
Eure,2022,8486,18,639831,102,0.01,Normandie,113,75.09734513274336
Eure,2023,11960,15,651033,215,0.02,Normandie,328,36.46341463414634
Eure,2024,15498,16,672625,375,0.02,Normandie,703,22.04551920341394
Eure-et-Loir,2020,2319,2,439083,6,0.0,Centre-Val de Loire,6,386.5
Eure-et-Loir,2021,3895,2,444500,38,0.01,Centre-Val de Loire,44,88.52272727272727
Eure-et-Loir,2022,5416,3,436119,94,0.02,Centre-Val de Loire,138,39.2463768115942
Eure-et-Loir,2023,7890,3,457314,194,0.02,Centre-Val de Loire,332,23.765060240963855
Eure-et-Loir,2024,10016,4,464314,262,0.03,Centre-Val de Loire,594,16.86195286195286
Finistère,2020,4677,10,949220,3,0.0,Bretagne,3,1559.0
Finistère,2021,8005,16,956964,52,0.01,Bretagne,55,145.54545454545453
Finistère,2022,11972,18,964707,118,0.01,Bretagne,173,69.20231213872832
Finistère,2023,17417,21,982891,643,0.04,Bretagne,816,21.34436274509804
Finistère,2024,22662,24,997882,609,0.03,Bretagne,1425,15.903157894736841
Gard,2020,4273,9,770805,33,0.01,Occitanie,33,129.4848484848485
Gard,2021,7794,10,767937,138,0.02,Occitanie,171,45.578947368421055
Gard,2022,11649,11,781568,462,0.04,Occitanie,633,18.402843601895736
Gard,2023,16944,14,786797,215,0.01,Occitanie,848,19.9811320754717
Gard,2024,21216,15,790199,534,0.03,Occitanie,1382,15.351664254703328
Gers,2021,1858,9,208196,15,0.01,Occitanie,15,123.86666666666666
Gers,2022,2463,7,198925,46,0.02,Occitanie,61,40.377049180327866
Gers,2023,3495,8,201728,32,0.01,Occitanie,93,37.58064516129032
Gers,2024,4826,7,217273,207,0.04,Occitanie,300,16.086666666666666
Gironde,2020,9735,66,1493730,172,0.02,Nouvelle-Aquitaine,172,56.598837209302324
Gironde,2021,18261,68,1569995,280,0.02,Nouvelle-Aquitaine,452,40.400442477876105
Gironde,2022,25358,59,1528013,478,0.02,Nouvelle-Aquitaine,930,27.266666666666666
Gironde,2023,35634,57,1545644,470,0.01,Nouvelle-Aquitaine,1400,25.452857142857145
Gironde,2024,48231,66,1640294,1983,0.04,Nouvelle-Aquitaine,3383,14.256872598285545
Haut-Rhin,2020,5618,80,801749,21,0.0,Grand Est,21,267.5238095238095
Haut-Rhin,2021,9790,84,809543,72,0.01,Grand Est,93,105.26881720430107
Haut-Rhin,2022,14133,86,800786,181,0.01,Grand Est,274,51.58029197080292
Haut-Rhin,2023,20330,90,829421,271,0.01,Grand Est,545,37.30275229357798
Haut-Rhin,2024,24966,92,829368,609,0.02,Grand Est,1154,21.63431542461005
Haute-Corse,2020,1480,1,212699,7,0.0,Corse,7,211.42857142857142
Haute-Corse,2021,3559,1,218915,36,0.01,Corse,43,82.76744186046511
Haute-Corse,2022,6002,1,222118,42,0.01,Corse,85,70.61176470588235
Haute-Corse,2023,11089,2,232214,34,0.0,Corse,119,93.18487394957984
Haute-Corse,2024,11960,2,235437,30,0.0,Corse,149,80.26845637583892
Haute-Garonne,2020,10409,99,1298263,146,0.01,Occitanie,146,71.29452054794521
Haute-Garonne,2021,17369,101,1319269,302,0.02,Occitanie,448,38.770089285714285
Haute-Garonne,2022,25537,103,1347924,823,0.03,Occitanie,1271,20.092053501180175
Haute-Garonne,2023,36326,108,1347734,968,0.03,Occitanie,2239,16.224207235372933
Haute-Garonne,2024,46733,110,1387953,1333,0.03,Occitanie,3572,13.083146696528555
Haute-Loire,2020,914,12,248447,62,0.07,Auvergne-Rhône-Alpes,62,14.741935483870968
Haute-Loire,2021,1644,11,252912,23,0.01,Auvergne-Rhône-Alpes,85,19.341176470588234
Haute-Loire,2022,2421,10,256289,37,0.02,Auvergne-Rhône-Alpes,122,19.84426229508197
Haute-Loire,2023,3415,14,260289,16,0.0,Auvergne-Rhône-Alpes,138,24.746376811594203
Haute-Loire,2024,4546,12,264010,78,0.02,Auvergne-Rhône-Alpes,216,21.046296296296298
Haute-Marne,2021,814,3,164693,9,0.01,Grand Est,9,90.44444444444444
Haute-Marne,2022,1223,4,165597,90,0.07,Grand Est,99,12.353535353535353
Haute-Marne,2023,2069,5,188420,89,0.04,Grand Est,188,11.00531914893617
Haute-Marne,2024,2158,6,167574,73,0.03,Grand Est,261,8.268199233716475
Haute-Savoie,2020,7201,68,852276,354,0.05,Auvergne-Rhône-Alpes,354,20.34180790960452
Haute-Savoie,2021,12032,80,890171,38,0.0,Auvergne-Rhône-Alpes,392,30.693877551020407
Haute-Savoie,2022,17552,84,903053,309,0.02,Auvergne-Rhône-Alpes,701,25.03851640513552
Haute-Savoie,2023,25182,90,949211,205,0.01,Auvergne-Rhône-Alpes,906,27.794701986754966
Haute-Savoie,2024,31138,93,945738,691,0.02,Auvergne-Rhône-Alpes,1597,19.497808390732622
Haute-Saône,2020,795,4,248191,4,0.01,Bourgogne-Franche-Comté,4,198.75
Haute-Saône,2022,1999,4,247338,6,0.0,Bourgogne-Franche-Comté,10,199.9
Haute-Saône,2023,2949,3,247638,36,0.01,Bourgogne-Franche-Comté,46,64.1086956521739
Haute-Saône,2024,4015,2,269340,188,0.05,Bourgogne-Franche-Comté,234,17.15811965811966
Haute-Vienne,2020,1671,14,378483,1,0.0,Nouvelle-Aquitaine,1,1671.0
Haute-Vienne,2021,3062,14,386255,57,0.02,Nouvelle-Aquitaine,58,52.793103448275865
Haute-Vienne,2022,4545,10,384632,58,0.01,Nouvelle-Aquitaine,116,39.18103448275862
Haute-Vienne,2023,6556,12,389835,132,0.02,Nouvelle-Aquitaine,248,26.43548387096774
Haute-Vienne,2024,8460,12,395781,364,0.04,Nouvelle-Aquitaine,612,13.823529411764707
Hautes-Alpes,2020,769,2,146699,174,0.23,Provence-Alpes-Côte d'Azur,174,4.419540229885057
Hautes-Alpes,2021,1307,5,150562,15,0.01,Provence-Alpes-Côte d'Azur,189,6.915343915343915
Hautes-Alpes,2022,1843,5,152015,22,0.01,Provence-Alpes-Côte d'Azur,211,8.734597156398104
Hautes-Alpes,2023,2533,6,158242,66,0.03,Provence-Alpes-Côte d'Azur,277,9.144404332129964
Hautes-Alpes,2024,3188,6,159002,184,0.06,Provence-Alpes-Côte d'Azur,461,6.915401301518438
Hautes-Pyrénées,2020,1042,17,232963,1,0.0,Occitanie,1,1042.0
Hautes-Pyrénées,2021,1786,18,244293,20,0.01,Occitanie,21,85.04761904761905
Hautes-Pyrénées,2022,2509,19,241701,225,0.09,Occitanie,246,10.199186991869919
Hautes-Pyrénées,2023,3561,19,249526,78,0.02,Occitanie,324,10.99074074074074
Hautes-Pyrénées,2024,4297,19,239032,160,0.04,Occitanie,484,8.87809917355372
Hauts-de-Seine,2020,23435,134,1444363,351,0.01,Île-de-France,351,66.76638176638177
Hauts-de-Seine,2021,35886,134,1469612,636,0.02,Île-de-France,987,36.358662613981764
Hauts-de-Seine,2022,49308,143,1484625,375,0.01,Île-de-France,1362,36.202643171806166
Hauts-de-Seine,2023,73494,174,1532630,484,0.01,Île-de-France,1846,39.812567713976165
Hauts-de-Seine,2024,102336,704,1624935,1000,0.01,Île-de-France,2846,35.957835558678845
Hérault,2020,6751,54,1154199,22,0.0,Occitanie,22,306.8636363636364
Hérault,2021,12492,55,1177526,97,0.01,Occitanie,119,104.97478991596638
Hérault,2022,18968,56,1178412,414,0.02,Occitanie,533,35.587242026266416
Hérault,2023,28358,58,1211267,453,0.02,Occitanie,986,28.760649087221097
